IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP 
94,1,5073.85,3173.08,2659.1,2633.85,6481.54,3844.23,1830.51,3781.67,2797.56,7041.41,5104.23,1186.28,3581.41,5652.56,21184,14201,1780,0,12.2736,
95,1,5046.03,3213.72,2706.15,2682.56,6409.49,3854.23,1903.33,3792.95,2839.36,6950.64,5074.36,1278.33,3600.51,5605.77,20522,14201,1780,0,12.2775,
96,1,5018.21,3254.36,2753.21,2731.28,6337.44,3864.23,1976.15,3804.23,2881.15,6859.87,5044.49,1370.38,3619.62,5558.97,19860,14201,1780,0,12.2815,
97,1,4990.38,3295,2800.26,2780,6265.38,3874.23,2048.97,3815.51,2922.95,6769.1,5014.62,1462.44,3638.72,5512.18,19198,14201,1780,0,12.2854,
98,1,4962.56,3335.64,2847.31,2828.72,6193.33,3884.23,2121.79,3826.79,2964.74,6678.33,4984.74,1554.49,3657.82,5465.38,18536,14201,1780,0,12.2894,
99,1,4934.74,3376.28,2894.36,2877.44,6121.28,3894.23,2194.62,3838.08,3006.54,6587.56,4954.87,1646.54,3676.92,5418.59,17874,14201,1780,0,12.2933,
100,1,4906.92,3416.92,2941.41,2926.15,6049.23,3904.23,2267.44,3849.36,3048.33,6496.79,4925,1738.59,3696.03,5371.79,17212,14201,1780,0,12.2972,
101,1,4879.1,3457.56,2988.46,2974.87,5977.18,3914.23,2340.26,3860.64,3090.13,6406.03,4895.13,1830.64,3715.13,5325,16550,14201,1780,0,12.3012,
102,1,4851.28,3498.21,3035.51,3023.59,5905.13,3924.23,2413.08,3871.92,3131.92,6315.26,4865.26,1922.69,3734.23,5278.21,15888,14201,1780,0,12.3051,
103,1,4823.46,3538.85,3082.56,3072.31,5833.08,3934.23,2485.9,3883.21,3173.72,6224.49,4835.38,2014.74,3753.33,5231.41,15226,14201,1780,0,12.3091,
