IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP,
98,0,4176.92,4165.64,4176.92,4227.18,4175.38,4177.95,4187.18,4182.05,4213.85,4194.36,4197.95,4203.08,4209.74,4209.23,837,2056,2006,0,10.5742,
99,0,4164.62,4151.28,4172.31,4237.95,4168.72,4172.82,4178.97,4173.85,4225.13,4184.1,4184.62,4211.79,4191.79,4192.82,847,2058,2006,0,10.5821,
100,0,4163.59,4149.23,4169.74,4240,4167.18,4170.26,4183.08,4179.49,4220,4188.21,4186.67,4213.33,4187.69,4185.64,850,2060,2010,0,10.5899,
101,0,4170.26,4156.92,4176.41,4234.87,4168.72,4175.38,4183.08,4182.05,4210.77,4196.41,4191.28,4206.67,4198.46,4190.26,524,2058,2010,0,10.5978,
102,0,4172.31,4155.9,4179.49,4234.36,4165.64,4176.41,4178.46,4172.31,4218.97,4190.77,4186.67,4205.64,4195.9,4193.33,837,2057,2015,0,10.6057,
103,0,4170.77,4150.26,4176.41,4235.9,4164.1,4175.9,4181.54,4171.79,4228.21,4183.08,4182.56,4208.21,4184.62,4191.28,847,2058,2015,0,10.6136,
104,0,4167.18,4149.74,4175.9,4235.9,4164.62,4179.49,4181.54,4171.28,4228.21,4176.41,4179.49,4208.72,4181.03,4185.64,850,2058,2017,0,10.6215,
105,0,4169.74,4157.44,4174.87,4232.31,4170.77,4180,4173.85,4166.15,4223.08,4180,4182.56,4206.67,4189.23,4188.21,524,2060,2021,0,10.6293,
106,0,4174.87,4160.51,4180,4230.26,4172.31,4177.44,4167.69,4163.59,4226.15,4182.05,4187.69,4202.05,4191.79,4193.85,837,2060,2022,0,10.6372,
107,0,4181.03,4161.03,4185.64,4226.67,4173.85,4175.38,4172.31,4165.64,4227.18,4180.51,4188.21,4203.08,4192.31,4196.92,847,2061,2025,0,10.6451,
108,0,4184.62,4161.54,4183.08,4225.64,4176.92,4176.41,4178.46,4167.69,4225.64,4181.03,4182.05,4204.62,4191.28,4197.44,850,2060,2027,0,10.653,
109,0,4179.49,4156.41,4183.59,4232.82,4170.77,4170.77,4170.77,4162.56,4234.87,4170.26,4171.79,4203.08,4182.05,4191.79,524,2060,2027,0,10.6609,
110,0,4176.41,4153.85,4184.62,4234.36,4164.1,4166.15,4163.59,4160.51,4240.51,4161.54,4173.33,4207.18,4177.44,4188.21,837,2059,2029,0,10.6687,
111,0,4180,4155.38,4183.59,4230.77,4162.56,4170.26,4167.18,4166.67,4235.9,4163.59,4178.46,4206.67,4178.46,4189.23,847,2059,2031,0,10.6766,
112,0,4186.15,4160,4179.49,4227.18,4164.62,4168.72,4169.23,4169.74,4229.23,4170.26,4182.56,4198.97,4184.1,4193.85,850,2058,2033,0,10.6845,
113,0,4181.54,4158.46,4177.44,4229.23,4163.08,4167.18,4166.67,4165.13,4224.1,4174.87,4183.59,4201.54,4187.69,4193.33,524,2057,2035,0,10.6924,
114,0,4174.36,4151.79,4182.56,4234.36,4158.46,4169.74,4168.72,4165.13,4226.15,4177.44,4180.51,4207.69,4184.62,4188.21,837,2058,2035,0,10.7003,
115,0,4177.95,4153.33,4178.97,4232.82,4160.51,4170.26,4176.92,4167.69,4233.33,4179.49,4184.62,4206.67,4186.67,4190.26,847,2056,2037,0,10.7081,
116,0,4172.82,4149.74,4174.87,4235.9,4159.49,4166.15,4175.9,4157.44,4237.44,4170.26,4184.62,4203.59,4186.15,4186.15,850,2055,2037,0,10.716,
117,0,4164.1,4142.05,4175.38,4243.59,4154.87,4163.08,4172.31,4153.33,4237.44,4161.54,4174.87,4208.72,4178.97,4175.9,524,2054,2039,0,10.7239,
118,0,4164.62,4143.59,4171.28,4243.59,4156.92,4167.18,4177.44,4161.03,4242.05,4160,4168.72,4211.79,4176.41,4175.9,837,2054,2042,0,10.7318,
119,0,4160.51,4141.03,4172.31,4241.54,4161.03,4172.82,4182.05,4161.54,4248.21,4155.38,4170.26,4205.64,4177.95,4176.92,847,2052,2041,0,10.7397,
120,0,4160.51,4144.1,4174.36,4238.97,4166.15,4171.28,4176.92,4158.97,4243.08,4157.95,4173.85,4207.69,4181.03,4175.9,850,2054,2040,0,10.7475,
121,0,4172.82,4164.62,4175.9,4231.28,4167.18,4170.26,4170.26,4159.49,4240.51,4165.64,4172.82,4208.72,4183.08,4178.97,524,2050,2043,0,10.7554,
